TAXID,MS11670_kraken_2024-standard_conf0
1,592527
131567,582737
2,568002
1783272,194312
1239,153901
186801,140456
186802,83078
31979,79645
1485,78758
1502,32011
1561,2170
1415775,181
94869,220
2614128,84
1491,55
1266,88
2619470,88
2726954,88
216572,2574
2892396,1100
2714355,1009
2714353,58
216851,510
853,103
411483,67
1263,415
2608920,362
1905344,150
1550024,150
946234,56
292800,56
186806,117
1730,104
2937909,103
79206,68
538999,81
3082720,47136
186804,46845
1849822,28016
1505,24949
1490,346
29358,151
1501226,14315
1507512,13378
2626894,248
2724150,170
1115758,135
2743582,610
89152,610
1505652,147
1870884,125
1496,118
1505657,62
261299,62
3030910,159
1926556,58
3085636,6447
186803,6428
2316020,1297
33039,900
657313,862
33038,308
572511,653
40520,142
411459,75
657314,54
418240,132
1121115,132
89014,76
1322,52
537007,52
33042,429
116085,370
830,376
45851,368
1766253,348
39491,348
657318,156
189330,269
88431,236
2944193,204
2763672,204
841,199
2637578,58
2569097,178
39488,178
28050,152
39485,152
515620,130
1506553,143
29347,114
2719313,133
333367,80
518636,80
208479,50
2944152,50
2763670,50
91061,8794
186826,6428
1300,6001
1301,5947
315405,1265
53354,81
81852,166
1350,154
186827,71
186828,66
33958,54
1385,2215
90964,1074
1279,771
246432,79
227979,189
2630462,124
2708346,116
186817,473
182709,170
182710,95
221109,95
1386,76
186822,284
44249,215
185978,80
186818,73
539738,66
1378,66
526524,605
526525,605
2810280,381
3025755,180
1547,170
135858,135
2678885,61
1982626,61
128827,206
2749267,113
2583452,113
909932,381
1843488,265
909930,265
33024,259
626940,56
909929,61
1737404,197
1737405,104
1737407,85
190972,82
2649220,82
201174,37091
1760,35122
2037,13274
2049,13274
2529408,12744
131111,12427
1660,66
1654,70
28263,50
85008,3594
28056,3594
1873,2387
709883,645
2617518,214
709868,71
47871,61
35753,361
2621675,178
2975959,157
1865,86
53365,50
2645785,50
2728827,50
85006,3028
85023,999
33882,213
2609290,75
518733,154
412690,154
55968,84
2621730,66
2813744,65
1268,552
1742989,192
256701,155
861360,155
1663,79
1742991,76
98671,76
32207,74
43675,62
85016,532
162491,396
2619021,396
1179673,396
1707,105
85019,265
1696,264
85020,55
43668,51
85007,2663
1762,848
1866885,348
152142,59
1226752,59
1763,179
85025,711
1827,561
33008,161
192944,55
1817,101
1653,698
1716,698
160386,50
1285583,50
85026,50
2053,50
85011,1968
2062,1968
1883,1741
2593676,595
2975928,50
85009,480
85015,301
1839,220
2615069,59
31957,113
85010,426
2070,426
1813,166
2618356,86
1851,55
85012,315
2004,140
83681,66
83676,81
2013,60
2012,77
1988,59
84998,245
84999,160
84107,111
102106,102
1643822,63
1643826,63
84992,221
84993,221
633392,186
1497346,192
588673,150
320583,54
191494,54
1798711,288
1117,288
3028117,287
1890424,84
1890426,57
1129,56
2626047,50
3079749,56
1890438,54
1297,151
188787,151
118964,107
183710,107
1298,107
200795,123
544448,86
31969,59
1224,159664
1236,50542
91347,20113
543,18165
561,3514
562,2012
83334,100
1499973,949
544,2376
545,137
1344959,66
547,206
354276,193
299767,180
2890311,98
570,96
573,80
1903412,336
568,140
569,69
1903411,241
629,180
29484,51
1903414,166
583,111
183417,60
1903409,66
72274,15087
135621,14947
286,12019
122355,1938
196821,1658
3122375,555
2604941,357
3074146,58
62104,183
114707,183
136841,122
136842,109
296,60
136843,77
136845,53
2901261,835
521720,835
2901164,88
136846,71
578833,58
316,50
2887365,56
2742,56
135614,3623
32033,3013
40323,929
196198,149
3055080,92
995085,56
338,269
68,233
83618,82
83614,78
1775411,235
231454,55
135622,3016
267890,2835
22,2827
2726434,277
196818,137
2029986,110
62322,72
267888,67
53246,63
2887326,805
468,805
497,511
196806,439
3043330,125
469,253
135613,420
72276,171
106633,63
1046,158
135625,416
712,416
724,220
729,98
249188,71
745,64
753,54
135619,390
28256,251
2745,128
2609666,78
135620,65
135618,206
403,188
413,55
1706369,202
1706371,67
1706372,54
1706373,51
48073,51
1692040,179
1692041,179
1744881,93
1620215,93
1692042,52
1675686,52
135623,141
641,141
662,85
135624,103
84642,102
642,80
3060226,60
2689614,60
469322,60
465721,60
28216,40635
80840,27487
80864,12663
52972,1286
2638319,309
296591,134
335476,156
216465,107
365044,107
28065,1048
2627954,289
2752316,74
2822760,61
3141537,57
3234144,50
1484693,99
192843,93
2509614,59
2527691,59
81479,56
1842727,50
12916,836
2684926,411
553814,113
758826,67
34072,756
663243,389
34073,104
283,540
2638500,81
47420,364
2610897,213
665874,205
2626134,205
238749,158
2649760,58
174951,134
94132,134
