TAXID,MS11678_kraken_2024-standard_conf0
1,1479009
131567,1435679
2,1196647
1783272,449260
201174,223345
1760,215625
85012,71701
2004,58547
2000,41833
2632669,11969
2975950,4307
2202249,500
2975949,157
2903898,120
2903899,118
2975951,108
2001,6538
479432,6538
106412,649
83681,3853
2047744,1888
2593643,418
2976003,225
2976002,181
404386,235
1122611,235
2219224,181
1291556,154
1955412,98
1909395,98
93944,90
2005,577
2614687,268
2903583,133
3144104,103
568844,134
147067,84
2006,84
2012,9414
1988,8880
46158,4860
2626254,337
2742128,177
2591108,99
1993,124
46163,123
2750812,50
2019,78
58122,53
2642701,53
2976007,53
83676,172
2013,88
85008,43658
28056,43658
1873,38377
47871,12935
2617518,2763
2903585,524
2975977,339
2975986,151
3018339,121
2903586,66
709883,1816
709868,1681
285665,167
47858,85
356851,63
35753,623
47989,242
2621675,154
2975959,96
2862460,55
1865,208
113562,58
2626549,51
673534,84
2631981,84
53365,61
2645785,61
2728827,61
85011,14551
2062,14551
1883,13022
2593676,3352
2975923,120
2903752,81
2975928,70
68188,288
629295,236
1482561,99
1892,99
1482601,96
1919,96
2838335,61
2063,161
2633591,100
85006,7560
85023,2854
33882,1072
2609290,221
190323,167
2624265,72
55968,152
2621730,86
2813744,84
518733,91
412690,91
2034,75
33877,63
1268,2631
1742989,1341
256701,766
861360,766
257984,78
2627139,53
1663,431
235627,215
32207,73
43675,59
1742993,70
57493,61
1742990,50
2639426,50
85019,462
1696,454
85016,201
1707,109
162491,73
2619021,73
1179673,73
85021,94
85020,89
43668,82
2805590,66
125287,54
85017,50
85007,6146
85025,3929
1827,3478
33008,1510
192944,175
2840174,82
1817,316
2637762,87
1762,1248
1866885,499
2636767,120
2908837,76
1763,282
2642494,62
1653,282
1716,282
85026,97
2053,92
85009,3227
85015,2665
1839,2197
2615069,921
2840457,519
2040,117
31957,269
2801844,124
1750,115
2726069,123
182639,123
2644121,101
2037,1323
2049,1323
2529408,928
1660,607
131111,54
1654,291
1852377,82
2755559,68
85010,1168
2070,1168
1813,410
2618356,208
1847,129
2619320,58
1835,87
43356,70
2071,53
85013,123
74712,123
2994363,54
298654,54
85004,88
31953,88
1678,81
1643682,86
85030,86
84998,2015
84999,1664
84107,1426
