TAXID,MS11679_kraken_2024-standard_conf0
1,1696855
131567,1681924
2,1634387
1783272,796458
201174,581709
1760,571823
85007,160632
85025,151275
1827,146250
223392,77447
192944,1651
935199,287
2742603,253
2567884,226
2885078,178
1570939,65
103816,1595
1829,1525
33008,814
2840174,635
334542,409
1833,121
1830,86
1817,963
1824,544
2637762,89
2979332,680
43767,494
1543852,59
1762,2567
1866885,980
2636767,169
2908837,105
36814,107
710685,107
1763,408
2642494,86
1653,385
1716,385
1408191,82
931089,82
85026,282
2053,270
2657482,50
85029,102
37914,102
85006,91012
85016,39454
162491,29615
2619021,29615
1179673,29615
1707,8014
2968084,4362
2620175,665
2973977,124
2591145,73
3039384,67
2003551,50
1708,123
2819978,68
665568,88
1138587,55
85017,14161
157920,13532
1710,1688
2624466,947
1906273,555
2731680,87
1980001,80
3163031,78
2587808,112
254250,130
186188,104
85023,7978
33882,2858
2609290,1077
3019890,430
2048898,162
2851649,98
57043,62
33877,241
235888,189
2632331,133
2034,175
257496,132
33886,114
110932,103
2663824,70
55968,97
337004,83
46352,75
69578,71
1573,63
881616,51
2618217,51
1268,5805
1742989,3175
37930,1560
1775880,765
256701,210
861360,210
1663,1315
235627,669
1652545,319
2828862,190
199136,449
57493,369
71999,219
1272,56
32207,55
1742993,52
85019,2624
1696,2615
2614124,1010
2886045,887
1703,65
145360,1340
60919,1340
2645534,1237
2714931,1172
3030830,63
60920,56
446469,56
85020,252
43668,228
2623841,106
85021,209
53457,102
577468,120
2888818,72
2819238,72
2805590,119
125287,56
265976,55
145358,90
154116,90
1331736,63
145357,57
125316,52
85012,65033
2012,32314
1988,31254
46158,16966
46163,589
2626254,419
2591108,304
2742128,51
1993,81
2019,58
2004,30357
2000,20461
2632669,5720
2975950,1938
2202249,239
2903898,86
2975951,67
2001,3836
479432,3836
106412,484
83681,2997
2047744,396
2593643,329
2976003,183
2976002,135
404386,228
1122611,228
2219224,187
1291556,131
93944,97
1955412,87
1909395,87
2005,338
2614687,142
2903583,81
3144104,53
568844,78
83676,139
2013,73
85008,56270
28056,56270
1873,49959
47871,16396
709883,3860
2617518,2665
2975986,472
3156396,267
2903585,177
2975977,142
3018339,123
3016096,90
2903586,61
709868,258
47858,247
356851,152
285665,80
1420889,64
47850,50
35753,318
47989,106
2621675,77
1865,159
2626549,63
673534,95
2631981,95
2024580,55
85011,38444
2062,38444
1883,36344
2593676,3977
1736046,327
3096009,225
2903752,142
1535304,93
2975930,54
35620,1113
1477431,645
1886,599
629295,354
1482601,126
1919,126
1482561,83
1892,83
66883,53
2849069,223
53451,223
67345,172
3031124,129
2838335,90
188770,54
2063,122
2633591,68
85009,30855
85015,28797
1839,24189
2615069,8994
2840457,5797
196162,256
2931390,151
2898796,142
2763008,108
2996826,108
110319,102
2917724,85
2017486,81
3044187,81
2662361,78
2582905,77
2592334,71
2760705,70
2976000,56
3036374,51
402297,169
2894081,112
2712223,110
2483798,109
2760089,109
1643322,104
2518371,96
2575440,94
2663857,86
3095075,85
2500546,84
2045452,79
450734,78
1300347,78
1774216,71
2685869,71
2872154,71
2803858,69
200618,64
2518370,64
2558918,61
160826,60
642780,58
2714938,58
449461,56
2736757,53
3095076,50
2040,316
2633570,80
2044,161
2045,161
1546255,69
2621872,69
31957,327
72763,80
29404,55
2726069,153
182639,153
2644121,108
85010,1093
2070,1093
1813,392
2618356,210
1847,112
1835,80
165301,55
2037,357
2049,357
1654,213
85013,94
74712,94
1643682,94
85030,94
38501,50
85004,69
31953,69
1678,64
1497346,1116
588673,968
2600303,352
2600304,310
2997333,187
496014,69
320583,135
191494,135
2627773,86
2812560,55
2976758,60
2976759,60
2884022,60
2758916,52
2758920,52
84992,491
84993,491
633392,435
467975,138
2624035,70
2722752,70
1648491,54
2633173,54
2849779,54
3075137,52
2884263,52
2789775,50
2789776,50
84998,416
84999,305
84107,233
102106,198
147206,145
1643822,62
1643826,62
84995,62
84996,62
84997,62
42255,62
1239,207618
186801,184138
186802,161171
31979,159991
1485,158673
1502,72133
195103,185
107819,55
1561,1739
1415775,90
2614128,122
1491,53
216572,479
216851,183
538999,129
1392389,79
1297617,79
186806,102
1730,100
2041044,70
3082771,72
1918385,62
1796620,62
3082720,13367
186804,13248
2743582,6433
89152,6433
1501226,3665
