#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11675.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11675_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#58572898 reads processed
#Average read length 48.02181597707527
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6876609
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.86487	2.17154	6740358
k__Archaea	2157	4.13513	0.09367	136251
k__Bacteria|p__Firmicutes	2|1239	35.94584	0.81425	2320061
k__Bacteria|p__Proteobacteria	2|1224	24.19488	0.54807	2201371
k__Bacteria|p__Fusobacteria	2|32066	19.97103	0.45239	810172
k__Bacteria|p__Actinobacteria	2|201174	8.01463	0.18155	800069
k__Bacteria|p__Bacteroidota	2|976	6.93926	0.15719	553243
k__Archaea|p__Thaumarchaeota	2157|651137	4.13513	0.09367	136251
k__Bacteria|p__Nitrospirae	2|40117	0.77457	0.01755	52403
k__Bacteria|p__Acidobacteria	2|57723	0.01794	0.00041	2622
k__Bacteria|p__Deferribacteres	2|200930	0.00549	0.00012	327
k__Bacteria|p__Bacteria_unclassified	2|	0.00097	2e-05	68
k__Bacteria|p__Gemmatimonadetes	2|142182	0.00025	1e-05	22
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.54576	0.53336	1629075
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	19.96442	0.45224	809838
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	17.47248	0.39579	1635203
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.7196	0.17487	469897
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.88426	0.15594	747662
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	5.5999	0.12685	435875
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	4.54946	0.10305	359427
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	4.12408	0.09342	135852
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	1.37104	0.03106	47222
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.13037	0.02561	52407
