#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11679.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11679_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#46299493 reads processed
#Average read length 50.58937535233917
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2272240
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.57601	0.58607	2250894
k__Archaea	2157	2.42399	0.01456	21346
k__Bacteria|p__Proteobacteria	2|1224	34.12118	0.20494	835866
k__Bacteria|p__Actinobacteria	2|201174	23.62717	0.14191	682067
k__Bacteria|p__Firmicutes	2|1239	22.83702	0.13717	434597
k__Bacteria|p__Fusobacteria	2|32066	7.60544	0.04568	83753
k__Bacteria|p__Bacteroidota	2|976	7.1966	0.04322	171825
k__Archaea|p__Thaumarchaeota	2157|651137	2.42399	0.01456	21346
k__Bacteria|p__Nitrospirae	2|40117	2.11305	0.01269	41224
k__Bacteria|p__Gemmatimonadetes	2|142182	0.05991	0.00036	1230
k__Bacteria|p__Acidobacteria	2|57723	0.01563	9e-05	332
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	23.89928	0.14355	599193
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	23.15123	0.13905	676486
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.88252	0.12543	403062
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	7.60544	0.04568	83753
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.48605	0.03896	156461
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.14886	0.03693	142036
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	2.22285	0.01335	54045
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	2.22235	0.01335	19411
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	1.36413	0.00819	27823
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.93715	0.00563	19511
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.74892	0.0045	13401
