#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11683.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11683_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#59199215 reads processed
#Average read length 48.46235726267654
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1849955
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.73618	0.51374	1837350
k__Archaea	2157	1.26382	0.00658	12605
k__Bacteria|p__Proteobacteria	2|1224	38.08995	0.19819	774920
k__Bacteria|p__Firmicutes	2|1239	24.59729	0.12798	401118
k__Bacteria|p__Actinobacteria	2|201174	11.86811	0.06175	281422
k__Bacteria|p__Bacteroidota	2|976	11.71585	0.06096	241134
k__Bacteria|p__Fusobacteria	2|32066	10.0561	0.05232	97675
k__Bacteria|p__Nitrospirae	2|40117	1.91811	0.00998	32074
k__Archaea|p__Thaumarchaeota	2157|651137	1.26382	0.00658	12605
k__Bacteria|p__Bacteria_unclassified	2|	0.20742	0.00108	3985
k__Bacteria|p__Gemmatimonadetes	2|142182	0.12931	0.00067	2405
k__Bacteria|p__Chloroflexi	2|200795	0.10337	0.00054	1683
k__Bacteria|p__Acidobacteria	2|57723	0.04878	0.00025	893
k__Bacteria|p__Verrucomicrobia	2|74201	0.00189	1e-05	41
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.28055	0.11593	368083
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	18.20539	0.09473	353314
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	13.90962	0.07237	291742
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	11.31164	0.05886	233392
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.415	0.05419	260898
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	10.0561	0.05232	97675
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	3.64791	0.01898	76850
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	1.36844	0.00712	40458
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	1.2425	0.00646	12444
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.97545	0.00508	17412
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.94266	0.0049	14662
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.7367	0.00383	7607
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.67265	0.0035	10253
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.61809	0.00322	9937
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.54034	0.00281	4503
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.39846	0.00207	3797
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.34485	0.00179	6485
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.30823	0.0016	5145
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.26973	0.0014	3736
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.18461	0.00096	4295
k__Bacteria|p__Bacteria_unclassified|c__CFGB5367	2||	0.17198	0.00089	3302
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.17128	0.00089	3557
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.13609	0.00071	2094
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.12706	0.00066	2122
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes_unclassified	2|142182|	0.12599	0.00066	2302
k__Bacteria|p__Firmicutes|c__CFGB77365	2|1239|	0.12423	0.00065	2192
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.10058	0.00052	1282
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.08619	0.00045	1194
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07744	0.0004	868
k__Bacteria|p__Chloroflexi|c__CFGB3213	2|200795|	0.0724	0.00038	1359
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified	2|201174|	0.05832	0.0003	1122
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871	2||	0.03544	0.00018	683
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.03366	0.00018	619
