#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11770.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11770_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#33329933 reads processed
#Average read length 48.42202353062036
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1137413
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.61627	0.28939	1115349
k__Archaea	2157	4.38373	0.01327	22064
k__Bacteria|p__Proteobacteria	2|1224	42.8393	0.12966	606525
k__Bacteria|p__Firmicutes	2|1239	25.10043	0.07597	211165
k__Bacteria|p__Actinobacteria	2|201174	9.75326	0.02952	132329
k__Bacteria|p__Bacteroidota	2|976	8.406	0.02544	98781
k__Bacteria|p__Fusobacteria	2|32066	6.10196	0.01847	33599
k__Archaea|p__Euryarchaeota	2157|28890	3.18077	0.00963	16770
k__Bacteria|p__Nitrospirae	2|40117	3.16527	0.00958	29857
k__Archaea|p__Thaumarchaeota	2157|651137	1.20296	0.00364	5294
k__Bacteria|p__Acidobacteria	2|57723	0.09444	0.00029	1705
k__Bacteria|p__Verrucomicrobia	2|74201	0.07206	0.00022	451
k__Bacteria|p__Bacteria_unclassified	2|	0.05985	0.00018	749
k__Bacteria|p__Deferribacteres	2|200930	0.02372	7e-05	188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	18.90489	0.05722	241309
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.16959	0.04894	147457
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	10.76939	0.03259	189527
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.66268	0.02924	131726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	7.85374	0.02377	110642
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.73849	0.02039	45912
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	6.10196	0.01847	33599
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.21239	0.01275	50848
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	3.7765	0.01143	42496
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	3.33968	0.01011	40944
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	3.18077	0.00963	16770
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	3.16527	0.00958	29857
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.23568	0.00374	11031
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	1.20296	0.00364	5294
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.11861	0.00339	13355
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.40864	0.00124	2482
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.30983	0.00094	2496
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.30271	0.00092	5027
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.26096	0.00079	3525
