#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11673.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11673_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#43063404 reads processed
#Average read length 48.694470088802085
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:457335
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	87.01338	0.11114	433150
k__Archaea	2157	12.98662	0.01659	24185
k__Bacteria|p__Proteobacteria	2|1224	46.11221	0.0589	280774
k__Bacteria|p__Firmicutes	2|1239	15.46781	0.01976	55284
k__Archaea|p__Thaumarchaeota	2157|651137	12.98662	0.01659	24185
k__Bacteria|p__Nitrospirae	2|40117	8.55759	0.01093	31554
k__Bacteria|p__Fusobacteria	2|32066	8.06273	0.0103	17459
k__Bacteria|p__Bacteroidota	2|976	4.12023	0.00526	17212
k__Bacteria|p__Actinobacteria	2|201174	3.26707	0.00417	18053
k__Bacteria|p__Acidobacteria	2|57723	1.16907	0.00149	11683
k__Bacteria|p__Bacteria_unclassified	2|	0.19236	0.00025	828
k__Bacteria|p__Gemmatimonadetes	2|142182	0.06432	8e-05	303
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	16.97487	0.02168	124598
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	16.86894	0.02155	91906
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	12.90976	0.01649	23978
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.69103	0.01366	40340
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	8.06273	0.0103	17459
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	7.86805	0.01005	40746
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	4.96878	0.00635	19776
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.12023	0.00526	17212
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	3.58882	0.00458	11778
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.26707	0.00417	18053
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.8803	0.00368	9592
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	1.73599	0.00222	12344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.5923	0.00203	5728
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.83176	0.00106	2087
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.63685	0.00081	2165
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.61461	0.00079	3648
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.54221	0.00069	4553
k__Bacteria|p__Acidobacteria|c__CFGB72794	2|57723|	0.42135	0.00054	5765
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.20652	0.00026	529
k__Bacteria|p__Acidobacteria|c__CFGB34710	2|57723|	0.17915	0.00023	1118
k__Bacteria|p__Bacteria_unclassified|c__CFGB5367	2||	0.17651	0.00023	739
