#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11676.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11676_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#46732289 reads processed
#Average read length 45.14231359392646
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3037914
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.51155	1.17161	2993007
k__Archaea	2157	2.48845	0.0299	44907
k__Bacteria|p__Fusobacteria	2|32066	42.98273	0.51644	929707
k__Bacteria|p__Firmicutes	2|1239	26.00225	0.31242	893221
k__Bacteria|p__Proteobacteria	2|1224	16.57157	0.19911	688681
k__Bacteria|p__Bacteroidota	2|976	9.15646	0.11002	367094
k__Archaea|p__Thaumarchaeota	2157|651137	2.35987	0.02835	42216
k__Bacteria|p__Actinobacteria	2|201174	2.33014	0.028	97671
k__Bacteria|p__Nitrospirae	2|40117	0.38332	0.00461	13726
k__Archaea|p__Euryarchaeota	2157|28890	0.12858	0.00154	2691
k__Bacteria|p__Verrucomicrobia	2|74201	0.07091	0.00085	1762
k__Bacteria|p__Acidobacteria	2|57723	0.01329	0.00016	1119
k__Bacteria|p__Lentisphaerae	2|256845	0.00087	1e-05	26
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	42.47271	0.51031	916020
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.28173	0.2557	744893
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.55213	0.10275	416059
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.42371	0.0892	276344
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.96134	0.08364	213636
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.33563	0.02806	80698
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	2.31953	0.02787	40528
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.73617	0.02086	84312
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	1.65348	0.01987	87560
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.60688	0.01931	46336
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.59397	0.00714	13359
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	0.51002	0.00613	13687
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.49388	0.00593	34386
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.26565	0.00319	10093
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.23266	0.0028	5119
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.20425	0.00245	4110
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.17391	0.00209	6034
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.16711	0.00201	4199
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.16023	0.00193	7797
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.12858	0.00154	2691
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.11767	0.00141	3633
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.10692	0.00128	7089
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.09787	0.00118	3130
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	0.07091	0.00085	1762
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.05929	0.00071	3302
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	0.04526	0.00054	1098
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.0438	0.00053	1233
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	0.04034	0.00048	1688
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.03478	0.00042	1113
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.03045	0.00037	1584
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01702	0.0002	1151
k__Bacteria|p__Proteobacteria|c__CFGB77407	2|1224|	0.01651	0.0002	1151
k__Bacteria|p__Firmicutes|c__CFGB8287	2|1239|	0.01478	0.00018	417
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.01329	0.00016	1119
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.01151	0.00014	401
k__Bacteria|p__Bacteroidota|c__CFGB11391	2|976|	0.00253	3e-05	92
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.00186	2e-05	44
k__Bacteria|p__Lentisphaerae|c__CFGB10083	2|256845|	0.00087	1e-05	26
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	0.00077	1e-05	20
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	42.47271	0.51031	916020
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	21.28173	0.2557	744893
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.42371	0.0892	276344
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.15833	0.07399	182210
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.85872	0.05838	275299
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	2.31953	0.02787	40528
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	1.8492	0.02222	64460
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	1.84284	0.02214	69461
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.65348	0.01987	87560
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.60688	0.01931	46336
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	1.39184	0.01672	51342
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.83418	0.01002	36434
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.59397	0.00714	13359
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.54711	0.00657	20445
k__Bacteria|p__Fusobacteria|c__CFGB79089|o__OFGB79089	2|32066||	0.51002	0.00613	13687
k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371	2|1224||	0.49388	0.00593	34386
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.48643	0.00584	16238
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.43568	0.00523	21928
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.35796	0.0043	9215
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.26565	0.00319	10093
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.24253	0.00291	21463
