#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11774.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11774_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#52212865 reads processed
#Average read length 46.96894912776765
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3134072
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.43355	1.08247	3125105
k__Archaea	2157	0.56645	0.00617	8967
k__Bacteria|p__Firmicutes	2|1239	34.26284	0.373	1023634
k__Bacteria|p__Fusobacteria	2|32066	26.01767	0.28324	510416
k__Bacteria|p__Bacteroidota	2|976	20.09934	0.21881	853008
k__Bacteria|p__Proteobacteria	2|1224	12.90612	0.1405	504884
k__Bacteria|p__Verrucomicrobia	2|74201	3.16288	0.03443	71208
k__Bacteria|p__Actinobacteria	2|201174	1.87468	0.02041	120300
k__Bacteria|p__Nitrospirae	2|40117	1.02923	0.0112	36034
k__Archaea|p__Thaumarchaeota	2157|651137	0.56645	0.00617	8967
k__Bacteria|p__Acidobacteria	2|57723	0.08079	0.00088	5621
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	26.01767	0.28324	510416
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.17061	0.24136	687181
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	19.85716	0.21617	845106
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.89869	0.0751	227911
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.49121	0.04889	139516
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.39771	0.03699	153819
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	2|74201|	3.16288	0.03443	71208
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	3.0627	0.03334	78028
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.6355	0.0178	115245
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	1.12085	0.0122	70501
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.06705	0.01162	26257
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	1.02923	0.0112	36034
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.7619	0.00829	22081
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.73596	0.00801	22626
k__Bacteria|p__Firmicutes|c__CFGB75497	2|1239|	0.66647	0.00726	14977
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.60395	0.00657	12624
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	0.56645	0.00617	8967
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.51213	0.00558	22628
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.28082	0.00306	6135
k__Bacteria|p__Firmicutes|c__CFGB77365	2|1239|	0.26321	0.00287	9718
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.24938	0.00271	5011
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.23917	0.0026	5055
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	0.19873	0.00216	4371
k__Bacteria|p__Bacteroidota|c__CFGB628	2|976|	0.17298	0.00188	5016
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.14745	0.00161	6861
k__Bacteria|p__Firmicutes|c__CFGB72939	2|1239|	0.13152	0.00143	4235
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.08868	0.00097	4654
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.08663	0.00094	1438
k__Bacteria|p__Firmicutes|c__CFGB9725	2|1239|	0.07409	0.00081	1687
k__Bacteria|p__Proteobacteria|c__CFGB49326	2|1224|	0.07213	0.00079	4269
k__Bacteria|p__Acidobacteria|c__CFGB52975	2|57723|	0.06372	0.00069	4567
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.05266	0.00057	1950
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.04329	0.00047	755
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.02257	0.00025	373
k__Bacteria|p__Acidobacteria|c__CFGB5372	2|57723|	0.01332	0.00015	805
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	2|1224|2008785	0.0089	0.0001	317
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.00734	8e-05	569
k__Bacteria|p__Proteobacteria|c__CFGB22535	2|1224|	0.00569	6e-05	264
