#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11674.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11674_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#28673243 reads processed
#Average read length 42.472811498859755
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:891615
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.08433	0.30669	873440
k__Archaea	2157	3.91567	0.0125	18175
k__Bacteria|p__Firmicutes	2|1239	56.52276	0.18041	510433
k__Bacteria|p__Proteobacteria	2|1224	24.02343	0.07668	265337
k__Bacteria|p__Fusobacteria	2|32066	11.55147	0.03687	59590
k__Archaea|p__Thaumarchaeota	2157|651137	3.91567	0.0125	18175
k__Bacteria|p__Actinobacteria	2|201174	2.01059	0.00642	17927
k__Bacteria|p__Bacteroidota	2|976	1.35734	0.00433	13618
k__Bacteria|p__Nitrospirae	2|40117	0.56936	0.00182	5866
k__Bacteria|p__Deferribacteres	2|200930	0.03356	0.00011	282
k__Bacteria|p__Acidobacteria	2|57723	0.01583	5e-05	387
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.75436	0.09816	316644
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	25.745	0.08217	193638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	13.15661	0.04199	167731
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	11.55147	0.03687	59590
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	8.24115	0.0263	68129
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	3.91567	0.0125	18175
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.35734	0.00433	13618
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.24713	0.00398	13094
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.19017	0.0038	6237
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.76346	0.00244	4833
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.71186	0.00227	13177
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.58661	0.00187	7577
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.55444	0.00177	5744
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12317	0.00039	2214
k__Bacteria|p__Deferribacteres|c__CFGB12873	2|200930|	0.03356	0.00011	282
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.01705	5e-05	99
k__Bacteria|p__Acidobacteria|c__CFGB26132	2|57723|	0.01583	5e-05	387
k__Bacteria|p__Nitrospirae|c__CFGB32184	2|40117|	0.01492	5e-05	122
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.01386	4e-05	272
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00634	2e-05	52
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	30.75436	0.09816	316644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	22.79877	0.07277	168361
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	11.55147	0.03687	59590
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	6.97476	0.02226	109981
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	6.00604	0.01917	44210
k__Archaea|p__Thaumarchaeota|c__CFGB167|o__OFGB167	2157|651137||	3.91567	0.0125	18175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	3.2137	0.01026	27644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	2.94623	0.0094	25277
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	1.49702	0.00478	14665
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	1.39196	0.00444	18239
