#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11678.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11678_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#46764124 reads processed
#Average read length 47.14350282708172
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3186010
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.25769	1.13944	3101319
k__Archaea	2157	4.74231	0.05673	84691
k__Bacteria|p__Firmicutes	2|1239	37.53197	0.44894	1115852
k__Bacteria|p__Fusobacteria	2|32066	22.90332	0.27396	524423
k__Bacteria|p__Bacteroidota	2|976	16.13843	0.19304	662580
k__Bacteria|p__Proteobacteria	2|1224	14.8611	0.17776	616451
k__Archaea|p__Thaumarchaeota	2157|651137	4.10327	0.04908	71376
k__Bacteria|p__Actinobacteria	2|201174	2.35403	0.02816	133103
k__Bacteria|p__Nitrospirae	2|40117	0.75616	0.00904	28669
k__Archaea|p__Euryarchaeota	2157|28890	0.63903	0.00764	13315
k__Bacteria|p__Lentisphaerae	2|256845	0.23011	0.00275	9068
k__Bacteria|p__Tenericutes	2|544448	0.20107	0.00241	3333
k__Bacteria|p__Spirochaetes	2|203691	0.19067	0.00228	5458
k__Bacteria|p__Verrucomicrobia	2|74201	0.04932	0.00059	1220
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02854	0.00034	694
k__Bacteria|p__Acidobacteria	2|57723	0.00696	8e-05	330
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00381	5e-05	52
k__Bacteria|p__Gemmatimonadetes	2|142182	0.00221	3e-05	86
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	17.47252	0.209	379320
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.15151	0.18124	531055
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	12.47581	0.14923	529442
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	8.37373	0.10016	201035
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	6.50938	0.07786	231939
k__Bacteria|p__Fusobacteria|c__CFGB79089	2|32066|	5.4308	0.06496	145103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	5.0886	0.06087	227779
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.05531	0.06047	138977
k__Archaea|p__Thaumarchaeota|c__CFGB167	2157|651137|	4.10327	0.04908	71376
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.21275	0.02647	74982
k__Bacteria|p__Firmicutes|c__CFGB49311	2|1239|	2.09556	0.02507	50648
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.02859	0.02427	125117
k__Bacteria|p__Proteobacteria|c__CFGB5371	2|1224|	0.99432	0.01189	68012
k__Bacteria|p__Bacteroidota|c__CFGB11391	2|976|	0.78912	0.00944	28518
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.75616	0.00904	28669
k__Bacteria|p__Firmicutes|c__CFGB79015	2|1239|	0.73784	0.00883	19589
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.69761	0.00834	13743
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.65091	0.00779	19328
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.63903	0.00764	13315
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	0.6069	0.00726	22173
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.57111	0.00683	17326
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	0.53504	0.0064	8225
k__Bacteria|p__Bacteroidota|c__CFGB653	2|976|	0.51806	0.0062	12448
k__Bacteria|p__Proteobacteria|c__CFGB33292	2|1224|	0.48208	0.00577	23409
k__Bacteria|p__Bacteroidota|c__CFGB1458	2|976|	0.48175	0.00576	18453
k__Bacteria|p__Bacteroidota|c__CFGB7511	2|976|	0.45313	0.00542	18582
k__Bacteria|p__Proteobacteria|c__CFGB77603	2|1224|	0.38881	0.00465	21115
