#mpa_vJun23_CHOCOPhlAnSGB_202403
#/nesi/nobackup/uoo02328/meriam/conda_environments/mpa/bin/metaphlan /nesi/nobackup/uoo02328/meriam/coprolite_analysis/04-analysis/eager_CanFam3.1/metagenomic_complexity_filter/fastp/MS11775.unmapped.lowcomplexityremoved.dedup.fq.gz --input_type fastq --bowtie2out reports_jun23_database/MS11775_jun23_dedup.bt2.out --nproc 16 --bowtie2db metaphlan_databases --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline
#47853316 reads processed
#Average read length 47.6735971442397
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9702016
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.52506	3.42249	9627508
k__Archaea	2157	1.47494	0.05124	74508
k__Bacteria|p__Firmicutes	2|1239	52.00284	1.80644	4421828
k__Bacteria|p__Bacteroidota	2|976	17.67593	0.61401	2620780
k__Bacteria|p__Proteobacteria	2|1224	15.6935	0.54515	1665469
k__Bacteria|p__Fusobacteria	2|32066	9.55934	0.33207	611388
k__Bacteria|p__Actinobacteria	2|201174	3.39427	0.11791	286088
k__Archaea|p__Thaumarchaeota	2157|651137	1.47494	0.05124	74508
k__Bacteria|p__Nitrospirae	2|40117	0.13867	0.00482	14204
k__Bacteria|p__Deferribacteres	2|200930	0.04332	0.0015	3961
k__Bacteria|p__Acidobacteria	2|57723	0.01719	0.0006	3790
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.39187	0.88204	2554484
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	17.40639	0.60465	2586995
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	14.25496	0.49518	752978
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	12.36696	0.42959	1315374
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	9.55883	0.33205	611349
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.14607	0.2135	612809
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.00348	0.10433	235798
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.43482	0.08458	165894
